headline,label,category,explanation_tokens,platform,title
,1,exaggeration,Cybersecurity|Gaming,YouTube,I Tried Machine Learning And THIS Happened!
,1,exaggeration,AI|Python,YouTube,Top 5 Finance Videos You Must Watch!
,1,emotional,Kerala|Students,YouTube,Top 5 Engineer Videos You Must Watch!
,0,none,,YouTube,Cybersecurity Analysis with Real Examples
,1,exaggeration,AI|Technology,YouTube,You Will Regret Missing This AI Video!
,0,none,,YouTube,Mobile Explained in 10 Minutes
,1,exaggeration,Gaming|AI,YouTube,You Won't Believe This Data Science Video!
,0,none,,YouTube,Students Demo and Walkthrough
,0,none,,YouTube,How AI Works Step by Step
,0,none,,YouTube,Beginner Friendly Kerala Course
,1,curiosity_gap,Python|AI,YouTube,This Kerala Experiment Shocked Everyone!
,1,exaggeration,Data Science|Gaming,YouTube,You Will Regret Missing This Data Science Video!
,1,exaggeration,Kerala|Machine Learning,YouTube,Everyone Is Talking About This Health!
,0,none,,YouTube,AI Project Explanation
,1,misleading_number,Engineer|Machine Learning,YouTube,This Mobile Video Is Breaking The Internet!
,0,none,,YouTube,Engineer Basics for Students
,1,exaggeration,Machine Learning|Health,YouTube,The Truth About Mobile Finally Revealed!
,0,none,,YouTube,Web Development Demo and Walkthrough
,1,curiosity_gap,Cybersecurity|Startup,YouTube,This Engineer Video Is Breaking The Internet!
,0,none,,YouTube,Complete Guide to Python
,0,none,,YouTube,AI Tutorial for Beginners
,1,misleading_number,AI|Data Science,YouTube,This Finance Experiment Shocked Everyone!
,1,misleading_number,Data Science|Startup,YouTube,People Are Shocked After Watching This Mobile!
,0,none,,YouTube,Students Project Explanation
,1,curiosity_gap,Cybersecurity|Health,YouTube,Top 5 Students Videos You Must Watch!
,0,none,,YouTube,Kerala Review and Performance Test
,1,curiosity_gap,Data Science|Machine Learning,YouTube,I Tried Health And THIS Happened!
,0,none,,YouTube,Engineer Review and Performance Test
,0,none,,YouTube,How Mobile Works Step by Step
,0,none,,YouTube,Health Tutorial for Beginners
,1,emotional,Machine Learning|Startup,YouTube,You Won't Believe This AI Video!
,0,none,,YouTube,Beginner Friendly Python Course
,0,none,,YouTube,Technology Review and Performance Test
,1,emotional,Gaming|Machine Learning,YouTube,This Students Video Is Breaking The Internet!
,1,exaggeration,Gaming|Students,YouTube,This Cybersecurity Trick Went Viral Overnight!
,1,misleading_number,Engineer|Technology,YouTube,You Will Regret Missing This Cybersecurity Video!
,0,none,,YouTube,Complete Guide to Data Science
,0,none,,YouTube,Technology Analysis with Real Examples
,1,emotional,Web Development|Students,YouTube,You Won't Believe This Engineer Video!
,1,curiosity_gap,Students|Web Development,YouTube,Top 5 AI Videos You Must Watch!
,0,none,,YouTube,Gaming Demo and Walkthrough
,0,none,,YouTube,Technology Demo and Walkthrough
,1,curiosity_gap,Machine Learning|Kerala,YouTube,This Finance Video Is Breaking The Internet!
,0,none,,YouTube,Health Review and Performance Test
,1,exaggeration,Gaming|Mobile,YouTube,You Won't Believe This Students Video!
,0,none,,YouTube,Data Science Review and Performance Test
,1,exaggeration,Gaming|Startup,YouTube,This AI Video Is Breaking The Internet!
,1,exaggeration,Finance|Data Science,YouTube,The Truth About Python Finally Revealed!
,0,none,,YouTube,Web Development Basics for Students
,1,shock_value,Python|Python,YouTube,Top 5 Technology Videos You Must Watch!
,0,none,,YouTube,Python Demo and Walkthrough
,0,none,,YouTube,Kerala Basics for Students
,0,none,,YouTube,Complete Guide to Students
,1,exaggeration,Engineer|Cybersecurity,YouTube,Top 5 Startup Videos You Must Watch!
,0,none,,YouTube,Mobile Analysis with Real Examples
,0,none,,YouTube,Python Project Explanation
,1,misleading_number,Finance|Startup,YouTube,I Tried Mobile And THIS Happened!
,1,curiosity_gap,Finance|Technology,YouTube,You Won't Believe This Machine Learning Video!
,1,shock_value,Kerala|Machine Learning,YouTube,Everyone Is Talking About This Startup!
,0,none,,YouTube,Complete Guide to Engineer
,1,emotional,Gaming|Engineer,YouTube,The Truth About Startup Finally Revealed!
,0,none,,YouTube,Beginner Friendly Cybersecurity Course
,0,none,,YouTube,Engineer Tutorial for Beginners
,1,emotional,Web Development|Finance,YouTube,This Machine Learning Experiment Shocked Everyone!
,0,none,,YouTube,Kerala Project Explanation
,1,exaggeration,Health|Gaming,YouTube,This Cybersecurity Experiment Shocked Everyone!
,0,none,,YouTube,Python Explained in 10 Minutes
,0,none,,YouTube,Finance Explained in 10 Minutes
,1,curiosity_gap,Python|Kerala,YouTube,I Tried Students And THIS Happened!
,1,curiosity_gap,Finance|Startup,YouTube,Top 5 Mobile Videos You Must Watch!
,1,curiosity_gap,Kerala|Health,YouTube,This Gaming Experiment Shocked Everyone!
,1,shock_value,Finance|Health,YouTube,This Startup Video Is Breaking The Internet!
,1,emotional,Engineer|Health,YouTube,This Students Trick Went Viral Overnight!
,1,shock_value,AI|Kerala,YouTube,Everyone Is Talking About This Engineer!
,0,none,,YouTube,Health Explained in 10 Minutes
,1,shock_value,Data Science|Students,YouTube,Everyone Is Talking About This Gaming!
,1,shock_value,Data Science|Gaming,YouTube,You Will Regret Missing This Web Development Video!
,1,exaggeration,AI|Mobile,YouTube,The Truth About AI Finally Revealed!
,0,none,,YouTube,Beginner Friendly Health Course
,0,none,,YouTube,AI Basics for Students
,1,shock_value,Finance|Machine Learning,YouTube,This Technology Video Is Breaking The Internet!
,1,exaggeration,Mobile|Data Science,YouTube,People Are Shocked After Watching This Finance!
,0,none,,YouTube,Data Science Project Explanation
,1,misleading_number,Technology|Startup,YouTube,I Tried AI And THIS Happened!
,1,emotional,Finance|Python,YouTube,People Are Shocked After Watching This Startup!
,0,none,,YouTube,Students Review and Performance Test
,1,curiosity_gap,Students|Web Development,YouTube,People Are Shocked After Watching This Kerala!
,1,emotional,Kerala|Students,YouTube,This Data Science Video Is Breaking The Internet!
,1,curiosity_gap,Machine Learning|Technology,YouTube,People Are Shocked After Watching This Cybersecurity!
,0,none,,YouTube,Gaming Explained in 10 Minutes
,1,misleading_number,AI|Machine Learning,YouTube,This Engineer Trick Went Viral Overnight!
,1,exaggeration,Web Development|Data Science,YouTube,I Tried Startup And THIS Happened!
,0,none,,YouTube,Mobile Review and Performance Test
,0,none,,YouTube,Technology Tutorial for Beginners
,1,exaggeration,Data Science|Mobile,YouTube,I Tried Engineer And THIS Happened!
,0,none,,YouTube,Technology Basics for Students
,0,none,,YouTube,Beginner Friendly Data Science Course
,0,none,,YouTube,Engineer Explained in 10 Minutes
,0,none,,YouTube,Technology Explained in 10 Minutes
,1,shock_value,Data Science|Data Science,YouTube,Top 5 Kerala Videos You Must Watch!
,0,none,,YouTube,Kerala Explained in 10 Minutes
,1,exaggeration,Cybersecurity|AI,YouTube,You Won't Believe This Gaming Video!
,0,none,,YouTube,How Cybersecurity Works Step by Step
