title,label,category,explanation_tokens,platform
People Are Shocked After Watching This Python!,1,misleading_number,Python|Students,YouTube
Everyone Is Talking About This AI!,1,curiosity_gap,Web Development|Health,YouTube
I Tried Gaming And THIS Happened!,1,shock_value,Health|Mobile,YouTube
Machine Learning Analysis with Real Examples,0,none,,YouTube
Startup Demo and Walkthrough,0,none,,YouTube
Everyone Is Talking About This Data Science!,1,misleading_number,Technology|Finance,YouTube
This Kerala Trick Went Viral Overnight!,1,emotional,Finance|Finance,YouTube
Data Science Demo and Walkthrough,0,none,,YouTube
The Truth About Gaming Finally Revealed!,1,curiosity_gap,Machine Learning|AI,YouTube
This Web Development Experiment Shocked Everyone!,1,emotional,Kerala|AI,YouTube
You Will Regret Missing This Technology Video!,1,emotional,AI|Gaming,YouTube
Health Demo and Walkthrough,0,none,,YouTube
How Machine Learning Works Step by Step,0,none,,YouTube
AI Demo and Walkthrough,0,none,,YouTube
People Are Shocked After Watching This Health!,1,curiosity_gap,Health|Data Science,YouTube
You Won't Believe This Python Video!,1,exaggeration,Gaming|AI,YouTube
Finance Basics for Students,0,none,,YouTube
I Tried Python And THIS Happened!,1,exaggeration,Mobile|Gaming,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
Everyone Is Talking About This Mobile!,1,curiosity_gap,Machine Learning|Machine Learning,YouTube
Python Tutorial for Beginners,0,none,,YouTube
Kerala Analysis with Real Examples,0,none,,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
The Truth About Data Science Finally Revealed!,1,shock_value,Technology|Data Science,YouTube
Startup Demo and Walkthrough,0,none,,YouTube
People Are Shocked After Watching This Technology!,1,curiosity_gap,Mobile|Health,YouTube
Kerala Tutorial for Beginners,0,none,,YouTube
This Technology Experiment Shocked Everyone!,1,exaggeration,Web Development|Web Development,YouTube
This Engineer Experiment Shocked Everyone!,1,exaggeration,Finance|Web Development,YouTube
Complete Guide to Health,0,none,,YouTube
This AI Experiment Shocked Everyone!,1,emotional,Web Development|Data Science,YouTube
You Will Regret Missing This Python Video!,1,shock_value,Web Development|Python,YouTube
How Kerala Works Step by Step,0,none,,YouTube
I Tried Python And THIS Happened!,1,shock_value,Engineer|Startup,YouTube
Everyone Is Talking About This Students!,1,shock_value,Machine Learning|Python,YouTube
Web Development Review and Performance Test,0,none,,YouTube
You Will Regret Missing This Finance Video!,1,misleading_number,Finance|Kerala,YouTube
How Startup Works Step by Step,0,none,,YouTube
How Kerala Works Step by Step,0,none,,YouTube
You Won't Believe This Python Video!,1,curiosity_gap,Cybersecurity|Students,YouTube
AI Explained in 10 Minutes,0,none,,YouTube
People Are Shocked After Watching This Data Science!,1,exaggeration,Finance|Cybersecurity,YouTube
How Engineer Works Step by Step,0,none,,YouTube
Complete Guide to Cybersecurity,0,none,,YouTube
You Will Regret Missing This Startup Video!,1,exaggeration,Mobile|Finance,YouTube
The Truth About Finance Finally Revealed!,1,emotional,Kerala|Mobile,YouTube
AI Review and Performance Test,0,none,,YouTube
Machine Learning Tutorial for Beginners,0,none,,YouTube
People Are Shocked After Watching This Gaming!,1,misleading_number,Mobile|Startup,YouTube
Beginner Friendly Finance Course,0,none,,YouTube
Everyone Is Talking About This Students!,1,shock_value,Health|Technology,YouTube
How Web Development Works Step by Step,0,none,,YouTube
Machine Learning Review and Performance Test,0,none,,YouTube
Startup Review and Performance Test,0,none,,YouTube
People Are Shocked After Watching This Machine Learning!,1,exaggeration,Students|Gaming,YouTube
Top 5 Python Videos You Must Watch!,1,shock_value,Gaming|Students,YouTube
This Startup Experiment Shocked Everyone!,1,curiosity_gap,AI|Web Development,YouTube
Complete Guide to Finance,0,none,,YouTube
Web Development Analysis with Real Examples,0,none,,YouTube
How Kerala Works Step by Step,0,none,,YouTube
This Kerala Video Is Breaking The Internet!,1,misleading_number,Engineer|Kerala,YouTube
Complete Guide to Technology,0,none,,YouTube
Engineer Analysis with Real Examples,0,none,,YouTube
Complete Guide to Machine Learning,0,none,,YouTube
Everyone Is Talking About This Mobile!,1,emotional,Gaming|Health,YouTube
Top 5 Health Videos You Must Watch!,1,shock_value,Cybersecurity|Machine Learning,YouTube
Machine Learning Review and Performance Test,0,none,,YouTube
I Tried Kerala And THIS Happened!,1,shock_value,Web Development|Python,YouTube
Cybersecurity Basics for Students,0,none,,YouTube
Data Science Tutorial for Beginners,0,none,,YouTube
Top 5 Web Development Videos You Must Watch!,1,curiosity_gap,Technology|Machine Learning,YouTube
Beginner Friendly Startup Course,0,none,,YouTube
Gaming Tutorial for Beginners,0,none,,YouTube
This Students Experiment Shocked Everyone!,1,exaggeration,AI|Students,YouTube
The Truth About Cybersecurity Finally Revealed!,1,emotional,Web Development|Mobile,YouTube
Health Project Explanation,0,none,,YouTube
I Tried Kerala And THIS Happened!,1,exaggeration,Web Development|Mobile,YouTube
I Tried Python And THIS Happened!,1,exaggeration,Gaming|Gaming,YouTube
Complete Guide to Startup,0,none,,YouTube
Web Development Project Explanation,0,none,,YouTube
Complete Guide to Web Development,0,none,,YouTube
Mobile Basics for Students,0,none,,YouTube
This Finance Trick Went Viral Overnight!,1,curiosity_gap,Kerala|Kerala,YouTube
The Truth About Machine Learning Finally Revealed!,1,misleading_number,Kerala|Python,YouTube
This AI Experiment Shocked Everyone!,1,emotional,Startup|Startup,YouTube
Finance Demo and Walkthrough,0,none,,YouTube
Gaming Basics for Students,0,none,,YouTube
You Won't Believe This Technology Video!,1,shock_value,Engineer|Cybersecurity,YouTube
This Technology Experiment Shocked Everyone!,1,shock_value,AI|Kerala,YouTube
Everyone Is Talking About This Kerala!,1,misleading_number,Startup|AI,YouTube
Finance Analysis with Real Examples,0,none,,YouTube
Machine Learning Explained in 10 Minutes,0,none,,YouTube
This Web Development Video Is Breaking The Internet!,1,curiosity_gap,Finance|Mobile,YouTube
Python Review and Performance Test,0,none,,YouTube
Health Basics for Students,0,none,,YouTube
Students Basics for Students,0,none,,YouTube
People Are Shocked After Watching This Python!,1,shock_value,Technology|AI,YouTube
This Technology Experiment Shocked Everyone!,1,misleading_number,Data Science|Gaming,YouTube
Complete Guide to Gaming,0,none,,YouTube
Beginner Friendly AI Course,0,none,,YouTube
AI Review and Performance Test,0,none,,YouTube
I Tried Gaming And THIS Happened!,1,misleading_number,Kerala|Machine Learning,YouTube
Mobile Demo and Walkthrough,0,none,,YouTube
I Tried Data Science And THIS Happened!,1,exaggeration,Startup|Web Development,YouTube
Cybersecurity Review and Performance Test,0,none,,YouTube
Complete Guide to AI,0,none,,YouTube
Complete Guide to Web Development,0,none,,YouTube
How Gaming Works Step by Step,0,none,,YouTube
The Truth About Students Finally Revealed!,1,exaggeration,AI|Mobile,YouTube
How Finance Works Step by Step,0,none,,YouTube
You Won't Believe This Health Video!,1,curiosity_gap,Python|Kerala,YouTube
I Tried Machine Learning And THIS Happened!,1,exaggeration,Cybersecurity|Gaming,YouTube
Top 5 Finance Videos You Must Watch!,1,exaggeration,AI|Python,YouTube
Top 5 Engineer Videos You Must Watch!,1,emotional,Kerala|Students,YouTube
Cybersecurity Analysis with Real Examples,0,none,,YouTube
I Tried Gaming And THIS Happened!,1,emotional,Startup|AI,YouTube
Students Basics for Students,0,none,,YouTube
You Will Regret Missing This Kerala Video!,1,misleading_number,Kerala|AI,YouTube
People Are Shocked After Watching This Web Development!,1,misleading_number,Data Science|Web Development,YouTube
The Truth About Cybersecurity Finally Revealed!,1,exaggeration,Cybersecurity|Engineer,YouTube
Kerala Analysis with Real Examples,0,none,,YouTube
This Gaming Trick Went Viral Overnight!,1,misleading_number,Gaming|Engineer,YouTube
You Will Regret Missing This AI Video!,1,exaggeration,AI|Technology,YouTube
Mobile Explained in 10 Minutes,0,none,,YouTube
You Won't Believe This Data Science Video!,1,exaggeration,Gaming|AI,YouTube
Top 5 Data Science Videos You Must Watch!,1,emotional,Finance|Web Development,YouTube
Students Demo and Walkthrough,0,none,,YouTube
How AI Works Step by Step,0,none,,YouTube
Beginner Friendly Kerala Course,0,none,,YouTube
You Won't Believe This Python Video!,1,exaggeration,Gaming|Web Development,YouTube
Python Tutorial for Beginners,0,none,,YouTube
This Students Experiment Shocked Everyone!,1,misleading_number,Engineer|Python,YouTube
People Are Shocked After Watching This Students!,1,misleading_number,Gaming|Engineer,YouTube
Mobile Tutorial for Beginners,0,none,,YouTube
Everyone Is Talking About This AI!,1,emotional,Engineer|Kerala,YouTube
How Engineer Works Step by Step,0,none,,YouTube
How Health Works Step by Step,0,none,,YouTube
This Kerala Experiment Shocked Everyone!,1,curiosity_gap,Python|AI,YouTube
You Will Regret Missing This Data Science Video!,1,exaggeration,Data Science|Gaming,YouTube
People Are Shocked After Watching This Students!,1,emotional,Python|Technology,YouTube
Data Science Demo and Walkthrough,0,none,,YouTube
AI Demo and Walkthrough,0,none,,YouTube
Everyone Is Talking About This Health!,1,exaggeration,Kerala|Machine Learning,YouTube
Top 5 Health Videos You Must Watch!,1,emotional,Engineer|Students,YouTube
AI Project Explanation,0,none,,YouTube
How AI Works Step by Step,0,none,,YouTube
How Web Development Works Step by Step,0,none,,YouTube
Data Science Basics for Students,0,none,,YouTube
This Cybersecurity Video Is Breaking The Internet!,1,emotional,Data Science|Technology,YouTube
This Mobile Video Is Breaking The Internet!,1,misleading_number,Engineer|Machine Learning,YouTube
This AI Trick Went Viral Overnight!,1,curiosity_gap,Mobile|Engineer,YouTube
This Cybersecurity Video Is Breaking The Internet!,1,shock_value,Mobile|Web Development,YouTube
This Health Video Is Breaking The Internet!,1,exaggeration,Engineer|AI,YouTube
This Technology Experiment Shocked Everyone!,1,misleading_number,Startup|Students,YouTube
Engineer Basics for Students,0,none,,YouTube
Everyone Is Talking About This Python!,1,curiosity_gap,Startup|Python,YouTube
Complete Guide to Kerala,0,none,,YouTube
The Truth About Mobile Finally Revealed!,1,exaggeration,Machine Learning|Health,YouTube
Web Development Demo and Walkthrough,0,none,,YouTube
How Engineer Works Step by Step,0,none,,YouTube
This Engineer Video Is Breaking The Internet!,1,curiosity_gap,Cybersecurity|Startup,YouTube
How Kerala Works Step by Step,0,none,,YouTube
Beginner Friendly Kerala Course,0,none,,YouTube
Beginner Friendly Startup Course,0,none,,YouTube
This Python Experiment Shocked Everyone!,1,curiosity_gap,AI|Gaming,YouTube
Finance Tutorial for Beginners,0,none,,YouTube
Complete Guide to Python,0,none,,YouTube
Beginner Friendly Technology Course,0,none,,YouTube
Complete Guide to Startup,0,none,,YouTube
This Kerala Trick Went Viral Overnight!,1,curiosity_gap,Gaming|Python,YouTube
Everyone Is Talking About This Data Science!,1,shock_value,Mobile|Gaming,YouTube
AI Tutorial for Beginners,0,none,,YouTube
Beginner Friendly Web Development Course,0,none,,YouTube
This Engineer Experiment Shocked Everyone!,1,curiosity_gap,Finance|Gaming,YouTube
Everyone Is Talking About This Students!,1,shock_value,Web Development|Python,YouTube
Engineer Analysis with Real Examples,0,none,,YouTube
This Gaming Trick Went Viral Overnight!,1,curiosity_gap,Health|Health,YouTube
Complete Guide to Python,0,none,,YouTube
Beginner Friendly Kerala Course,0,none,,YouTube
Beginner Friendly Mobile Course,0,none,,YouTube
You Won't Believe This Kerala Video!,1,curiosity_gap,Data Science|Technology,YouTube
You Won't Believe This Technology Video!,1,misleading_number,AI|Engineer,YouTube
Top 5 Data Science Videos You Must Watch!,1,curiosity_gap,Python|Machine Learning,YouTube
This Python Trick Went Viral Overnight!,1,emotional,AI|Technology,YouTube
AI Demo and Walkthrough,0,none,,YouTube
Engineer Demo and Walkthrough,0,none,,YouTube
This Finance Experiment Shocked Everyone!,1,misleading_number,AI|Data Science,YouTube
This Python Experiment Shocked Everyone!,1,emotional,Startup|Engineer,YouTube
I Tried Web Development And THIS Happened!,1,exaggeration,Cybersecurity|Gaming,YouTube
Top 5 Python Videos You Must Watch!,1,exaggeration,Web Development|Health,YouTube
This Machine Learning Video Is Breaking The Internet!,1,shock_value,Finance|Technology,YouTube
People Are Shocked After Watching This Mobile!,1,misleading_number,Data Science|Startup,YouTube
This Web Development Trick Went Viral Overnight!,1,misleading_number,Python|Gaming,YouTube
How Machine Learning Works Step by Step,0,none,,YouTube
Complete Guide to Mobile,0,none,,YouTube
People Are Shocked After Watching This Health!,1,emotional,Technology|Gaming,YouTube
Students Project Explanation,0,none,,YouTube
Students Basics for Students,0,none,,YouTube
You Won't Believe This Web Development Video!,1,emotional,Cybersecurity|Students,YouTube
Top 5 Students Videos You Must Watch!,1,curiosity_gap,Cybersecurity|Health,YouTube
Kerala Review and Performance Test,0,none,,YouTube
Everyone Is Talking About This Health!,1,exaggeration,Gaming|Gaming,YouTube
I Tried Health And THIS Happened!,1,curiosity_gap,Data Science|Machine Learning,YouTube
Engineer Review and Performance Test,0,none,,YouTube
People Are Shocked After Watching This Students!,1,shock_value,Mobile|Data Science,YouTube
People Are Shocked After Watching This Technology!,1,shock_value,Technology|Gaming,YouTube
This Web Development Experiment Shocked Everyone!,1,misleading_number,Engineer|AI,YouTube
AI Review and Performance Test,0,none,,YouTube
Everyone Is Talking About This Finance!,1,exaggeration,Health|Data Science,YouTube
Top 5 Students Videos You Must Watch!,1,emotional,Startup|Students,YouTube
How Mobile Works Step by Step,0,none,,YouTube
You Will Regret Missing This Data Science Video!,1,curiosity_gap,Web Development|Engineer,YouTube
Web Development Demo and Walkthrough,0,none,,YouTube
Beginner Friendly Technology Course,0,none,,YouTube
Health Tutorial for Beginners,0,none,,YouTube
Beginner Friendly Students Course,0,none,,YouTube
Engineer Basics for Students,0,none,,YouTube
Complete Guide to Finance,0,none,,YouTube
You Won't Believe This AI Video!,1,emotional,Machine Learning|Startup,YouTube
Beginner Friendly Python Course,0,none,,YouTube
Startup Basics for Students,0,none,,YouTube
Everyone Is Talking About This Health!,1,shock_value,Engineer|Data Science,YouTube
Technology Review and Performance Test,0,none,,YouTube
Complete Guide to Web Development,0,none,,YouTube
Machine Learning Tutorial for Beginners,0,none,,YouTube
You Will Regret Missing This Technology Video!,1,curiosity_gap,Data Science|Kerala,YouTube
This Students Video Is Breaking The Internet!,1,emotional,Gaming|Machine Learning,YouTube
Students Explained in 10 Minutes,0,none,,YouTube
This Cybersecurity Trick Went Viral Overnight!,1,exaggeration,Gaming|Students,YouTube
You Will Regret Missing This Cybersecurity Video!,1,misleading_number,Engineer|Technology,YouTube
Complete Guide to Data Science,0,none,,YouTube
You Will Regret Missing This Health Video!,1,shock_value,Engineer|Cybersecurity,YouTube
Technology Analysis with Real Examples,0,none,,YouTube
